State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Pecos,185,-103.111431,31.213441 -103.111431,31.205702 -103.119899,31.205702 -103.119899,31.213441 -103.111431,31.213441
TX,Pecos,186,-103.111431,31.205702 -103.111431,31.197962 -103.119899,31.197962 -103.119899,31.205702 -103.111431,31.205702
TX,Pecos,187,-103.09873,31.213441 -103.09873,31.208282 -103.111431,31.208282 -103.111431,31.213441 -103.09873,31.213441
TX,Pecos,188,-103.111431,31.208282 -103.105081,31.208282 -103.105081,31.197962 -103.111431,31.197962 -103.111431,31.208282
TX,Pecos,189,-103.105081,31.208282 -103.09873,31.208282 -103.09873,31.197962 -103.105081,31.197962 -103.105081,31.208282
TX,Pecos,190,-103.128719,31.197962 -103.128719,31.191406 -103.138715,31.191406 -103.138715,31.197962 -103.128719,31.197962
TX,Pecos,191,-103.128719,31.191406 -103.128719,31.18485 -103.138715,31.18485 -103.138715,31.191406 -103.128719,31.191406
TX,Pecos,192,-103.118723,31.197962 -103.118723,31.191406 -103.128719,31.191406 -103.128719,31.197962 -103.118723,31.197962
TX,Pecos,193,-103.118723,31.191406 -103.118723,31.18485 -103.128719,31.18485 -103.128719,31.191406 -103.118723,31.191406
TX,Pecos,194,-103.130718,31.18485 -103.130718,31.176655 -103.138715,31.176655 -103.138715,31.18485 -103.130718,31.18485
TX,Pecos,195,-103.130718,31.176655 -103.130718,31.16846 -103.138715,31.16846 -103.138715,31.176655 -103.130718,31.176655
TX,Pecos,196,-103.118723,31.18485 -103.118723,31.179386 -103.130718,31.179386 -103.130718,31.18485 -103.118723,31.18485
TX,Pecos,197,-103.130718,31.179386 -103.12472,31.179386 -103.12472,31.16846 -103.130718,31.16846 -103.130718,31.179386
TX,Pecos,198,-103.12472,31.179386 -103.118723,31.179386 -103.118723,31.16846 -103.12472,31.16846 -103.12472,31.179386
TX,Pecos,199,-103.108726,31.197962 -103.108726,31.191406 -103.118723,31.191406 -103.118723,31.197962 -103.108726,31.197962
TX,Pecos,200,-103.108726,31.191406 -103.108726,31.18485 -103.118723,31.18485 -103.118723,31.191406 -103.108726,31.191406
TX,Pecos,201,-103.09873,31.197962 -103.09873,31.191406 -103.108726,31.191406 -103.108726,31.197962 -103.09873,31.197962
TX,Pecos,202,-103.09873,31.191406 -103.09873,31.18485 -103.108726,31.18485 -103.108726,31.191406 -103.09873,31.191406
TX,Pecos,203,-103.110726,31.18485 -103.110726,31.176655 -103.118723,31.176655 -103.118723,31.18485 -103.110726,31.18485
TX,Pecos,204,-103.110726,31.176655 -103.110726,31.16846 -103.118723,31.16846 -103.118723,31.176655 -103.110726,31.176655
TX,Pecos,205,-103.09873,31.18485 -103.09873,31.179386 -103.110726,31.179386 -103.110726,31.18485 -103.09873,31.18485
TX,Pecos,206,-103.110726,31.179386 -103.104728,31.179386 -103.104728,31.16846 -103.110726,31.16846 -103.110726,31.179386
TX,Pecos,207,-103.104728,31.179386 -103.09873,31.179386 -103.09873,31.16846 -103.104728,31.16846 -103.104728,31.179386
TX,Pecos,208,-103.089322,31.225825 -103.089322,31.218859 -103.09873,31.218859 -103.09873,31.225825 -103.089322,31.225825
TX,Pecos,209,-103.089322,31.218859 -103.089322,31.211893 -103.09873,31.211893 -103.09873,31.218859 -103.089322,31.218859
TX,Pecos,210,-103.079914,31.225825 -103.079914,31.218859 -103.089322,31.218859 -103.089322,31.225825 -103.079914,31.225825
TX,Pecos,211,-103.079914,31.218859 -103.079914,31.211893 -103.089322,31.211893 -103.089322,31.218859 -103.079914,31.218859
TX,Pecos,212,-103.089322,31.211893 -103.089322,31.204928 -103.09873,31.204928 -103.09873,31.211893 -103.089322,31.211893
TX,Pecos,213,-103.089322,31.204928 -103.089322,31.197962 -103.09873,31.197962 -103.09873,31.204928 -103.089322,31.204928
