State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Bexar,85,-98.764497,29.653216 -98.764497,29.646897 -98.774869,29.646897 -98.774869,29.653216 -98.764497,29.653216
TX,Bexar,86,-98.776943,29.646897 -98.776943,29.638999 -98.78524,29.638999 -98.78524,29.646897 -98.776943,29.646897
TX,Bexar,87,-98.776943,29.638999 -98.776943,29.631101 -98.78524,29.631101 -98.78524,29.638999 -98.776943,29.638999
TX,Bexar,88,-98.764497,29.646897 -98.764497,29.641632 -98.776943,29.641632 -98.776943,29.646897 -98.764497,29.646897
TX,Bexar,89,-98.776943,29.641632 -98.77072,29.641632 -98.77072,29.631101 -98.776943,29.631101 -98.776943,29.641632
TX,Bexar,90,-98.77072,29.641632 -98.764497,29.641632 -98.764497,29.631101 -98.77072,29.631101 -98.77072,29.641632
TX,Bexar,91,-98.795597,29.631101 -98.795597,29.62477 -98.80596,29.62477 -98.805936,29.631101 -98.795597,29.631101
TX,Bexar,92,-98.795597,29.62477 -98.795597,29.618453 -98.805983,29.618453 -98.80596,29.62477 -98.795597,29.62477
TX,Bexar,93,-98.785234,29.631101 -98.785234,29.624777 -98.795597,29.624777 -98.795597,29.631101 -98.785234,29.631101
TX,Bexar,94,-98.785234,29.624777 -98.785234,29.618453 -98.795597,29.618453 -98.795597,29.624777 -98.785234,29.624777
TX,Bexar,95,-98.797681,29.618453 -98.797681,29.610567 -98.805984,29.610567 -98.806,29.614012 -98.805983,29.618453 -98.797681,29.618453
TX,Bexar,96,-98.797681,29.610567 -98.797681,29.602658 -98.805949,29.602658 -98.805984,29.610567 -98.797681,29.610567
TX,Bexar,97,-98.785234,29.618453 -98.785234,29.613188 -98.797681,29.613188 -98.797681,29.618453 -98.785234,29.618453
TX,Bexar,98,-98.797681,29.613188 -98.791457,29.613188 -98.791457,29.602658 -98.797681,29.602658 -98.797681,29.613188
TX,Bexar,99,-98.791457,29.613188 -98.785234,29.613188 -98.785234,29.602658 -98.791457,29.602658 -98.791457,29.613188
TX,Bexar,100,-98.774865,29.631101 -98.774865,29.62478 -98.785234,29.62478 -98.785234,29.631101 -98.774865,29.631101
TX,Bexar,101,-98.774865,29.62478 -98.774865,29.61846 -98.785234,29.61846 -98.785234,29.62478 -98.774865,29.62478
TX,Bexar,102,-98.764497,29.631101 -98.764497,29.62478 -98.774865,29.62478 -98.774865,29.631101 -98.764497,29.631101
TX,Bexar,103,-98.764497,29.62478 -98.764497,29.61846 -98.774865,29.61846 -98.774865,29.62478 -98.764497,29.62478
TX,Bexar,104,-98.776939,29.61846 -98.776939,29.610559 -98.785234,29.610559 -98.785234,29.61846 -98.776939,29.61846
TX,Bexar,105,-98.776939,29.610559 -98.776939,29.602658 -98.785234,29.602658 -98.785234,29.610559 -98.776939,29.610559
TX,Bexar,106,-98.764497,29.61846 -98.764497,29.613192 -98.776939,29.613192 -98.776939,29.61846 -98.764497,29.61846
TX,Bexar,107,-98.776939,29.613192 -98.770718,29.613192 -98.770718,29.602658 -98.776939,29.602658 -98.776939,29.613192
TX,Bexar,108,-98.770718,29.613192 -98.764497,29.613192 -98.764497,29.602658 -98.770718,29.602658 -98.770718,29.613192
TX,Bexar,109,-98.754126,29.659534 -98.754126,29.653215 -98.764497,29.653215 -98.764497,29.659534 -98.754126,29.659534
TX,Bexar,110,-98.754126,29.653215 -98.754126,29.646895 -98.764497,29.646895 -98.764497,29.653215 -98.754126,29.653215
TX,Bexar,111,-98.743756,29.659534 -98.743756,29.653215 -98.754126,29.653215 -98.754126,29.659534 -98.743756,29.659534
