State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Polk,159,-95.022968,30.93717 -95.015903,30.93717 -95.015903,30.927893 -95.022968,30.927893 -95.022968,30.93717
TX,Polk,160,-95.030033,30.927893 -95.022968,30.927893 -95.022968,30.918616 -95.030033,30.918616 -95.030033,30.927893
TX,Polk,161,-95.022968,30.927893 -95.015903,30.927893 -95.015903,30.918616 -95.022968,30.918616 -95.022968,30.927893
TX,Polk,162,-95.073732,30.918616 -95.066504,30.918616 -95.066504,30.90955 -95.073732,30.90955 -95.073732,30.918616
TX,Polk,163,-95.066504,30.918616 -95.059275,30.918616 -95.059275,30.90955 -95.066504,30.90955 -95.066504,30.918616
TX,Polk,164,-95.073732,30.90955 -95.066504,30.90955 -95.066504,30.900483 -95.073732,30.900483 -95.073732,30.90955
TX,Polk,165,-95.066504,30.90955 -95.059275,30.90955 -95.059275,30.900483 -95.066504,30.900483 -95.066504,30.90955
TX,Polk,166,-95.059275,30.918616 -95.052046,30.918616 -95.052046,30.90955 -95.059275,30.90955 -95.059275,30.918616
TX,Polk,167,-95.052046,30.918616 -95.044818,30.918616 -95.044818,30.90955 -95.052046,30.90955 -95.052046,30.918616
TX,Polk,168,-95.059275,30.90955 -95.052046,30.90955 -95.052046,30.900483 -95.059275,30.900483 -95.059275,30.90955
TX,Polk,169,-95.052046,30.90955 -95.044818,30.90955 -95.044818,30.900483 -95.052046,30.900483 -95.052046,30.90955
TX,Polk,170,-95.073732,30.900483 -95.066504,30.900483 -95.066504,30.891416 -95.073732,30.891416 -95.073732,30.900483
TX,Polk,171,-95.066504,30.900483 -95.059275,30.900483 -95.059275,30.891416 -95.066504,30.891416 -95.066504,30.900483
TX,Polk,172,-95.073732,30.891416 -95.066504,30.891416 -95.066504,30.88235 -95.073732,30.88235 -95.073732,30.891416
TX,Polk,173,-95.066504,30.891416 -95.059275,30.891416 -95.059275,30.88235 -95.066504,30.88235 -95.066504,30.891416
TX,Polk,174,-95.059275,30.900483 -95.052046,30.900483 -95.052046,30.891416 -95.059275,30.891416 -95.059275,30.900483
TX,Polk,175,-95.052046,30.900483 -95.044818,30.900483 -95.044818,30.891416 -95.052046,30.891416 -95.052046,30.900483
TX,Polk,176,-95.059275,30.891416 -95.052046,30.891416 -95.052046,30.88235 -95.059275,30.88235 -95.059275,30.891416
TX,Polk,177,-95.052046,30.891416 -95.044818,30.891416 -95.044818,30.88235 -95.052046,30.88235 -95.052046,30.891416
TX,Polk,178,-95.044818,30.918616 -95.037589,30.918616 -95.037589,30.90955 -95.044818,30.90955 -95.044818,30.918616
TX,Polk,179,-95.037589,30.918616 -95.030361,30.918616 -95.030361,30.90955 -95.037589,30.90955 -95.037589,30.918616
TX,Polk,180,-95.044818,30.90955 -95.037589,30.90955 -95.037589,30.900483 -95.044818,30.900483 -95.044818,30.90955
TX,Polk,181,-95.037589,30.90955 -95.030361,30.90955 -95.030361,30.900483 -95.037589,30.900483 -95.037589,30.90955
TX,Polk,182,-95.030361,30.918616 -95.023132,30.918616 -95.023132,30.90955 -95.030361,30.90955 -95.030361,30.918616
TX,Polk,183,-95.023132,30.918616 -95.015903,30.918616 -95.015903,30.90955 -95.023132,30.90955 -95.023132,30.918616
TX,Polk,184,-95.030361,30.90955 -95.023132,30.90955 -95.023132,30.900483 -95.030361,30.900483 -95.030361,30.90955
TX,Polk,185,-95.023132,30.90955 -95.015903,30.90955 -95.015903,30.900483 -95.023132,30.900483 -95.023132,30.90955
