State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Calhoun,82,-96.898796,28.518211 -96.897095,28.519911 -96.897296,28.520738 -96.889883,28.520738 -96.889883,28.507533 -96.891396,28.508411 -96.893295,28.513813 -96.896194,28.514412 -96.898796,28.518211
TX,Calhoun,83,-96.885029,28.520738 -96.885029,28.507214 -96.889334,28.507214 -96.889883,28.507533 -96.889883,28.520738 -96.885029,28.520738
TX,Calhoun,84,-96.885029,28.540249 -96.877093,28.540249 -96.877093,28.53199 -96.885029,28.53199 -96.885029,28.540249
TX,Calhoun,85,-96.877093,28.540249 -96.869156,28.540249 -96.869156,28.53199 -96.877093,28.53199 -96.877093,28.540249
TX,Calhoun,86,-96.885029,28.53199 -96.877093,28.53199 -96.877093,28.523732 -96.885029,28.523732 -96.885029,28.53199
TX,Calhoun,87,-96.877093,28.53199 -96.869156,28.53199 -96.869156,28.523732 -96.877093,28.523732 -96.877093,28.53199
TX,Calhoun,88,-96.885029,28.523732 -96.877093,28.523732 -96.877093,28.515473 -96.885029,28.515473 -96.885029,28.523732
TX,Calhoun,89,-96.877093,28.523732 -96.869156,28.523732 -96.869156,28.515473 -96.877093,28.515473 -96.877093,28.523732
TX,Calhoun,90,-96.885029,28.515473 -96.877093,28.515473 -96.877093,28.507214 -96.885029,28.507214 -96.885029,28.515473
TX,Calhoun,91,-96.877093,28.515473 -96.869156,28.515473 -96.869156,28.507214 -96.877093,28.507214 -96.877093,28.515473
TX,Calhoun,92,-96.869156,28.571258 -96.864221,28.571258 -96.864221,28.557977 -96.869156,28.557977 -96.869156,28.571258
TX,Calhoun,93,-96.85435,28.571258 -96.85435,28.564617 -96.864221,28.564617 -96.864221,28.571258 -96.85435,28.571258
TX,Calhoun,94,-96.85435,28.564617 -96.85435,28.557977 -96.864221,28.557977 -96.864221,28.564617 -96.85435,28.564617
TX,Calhoun,95,-96.869156,28.557977 -96.861753,28.557977 -96.861753,28.549123 -96.869156,28.549123 -96.869156,28.557977
TX,Calhoun,96,-96.861753,28.557977 -96.85435,28.557977 -96.85435,28.549123 -96.861753,28.549123 -96.861753,28.557977
TX,Calhoun,97,-96.869156,28.549123 -96.861753,28.549123 -96.861753,28.540269 -96.869156,28.540269 -96.869156,28.549123
TX,Calhoun,98,-96.861753,28.549123 -96.85435,28.549123 -96.85435,28.540269 -96.861753,28.540269 -96.861753,28.549123
TX,Calhoun,99,-96.845889,28.571258 -96.845889,28.563511 -96.85435,28.563511 -96.85435,28.571258 -96.845889,28.571258
TX,Calhoun,100,-96.845889,28.563511 -96.845889,28.555763 -96.85435,28.555763 -96.85435,28.563511 -96.845889,28.563511
TX,Calhoun,101,-96.837428,28.571258 -96.837428,28.563511 -96.845889,28.563511 -96.845889,28.571258 -96.837428,28.571258
TX,Calhoun,102,-96.837428,28.563511 -96.837428,28.555763 -96.845889,28.555763 -96.845889,28.563511 -96.837428,28.563511
TX,Calhoun,103,-96.845889,28.555763 -96.845889,28.548016 -96.85435,28.548016 -96.85435,28.555763 -96.845889,28.555763
TX,Calhoun,104,-96.845889,28.548016 -96.845889,28.540269 -96.85435,28.540269 -96.85435,28.548016 -96.845889,28.548016
TX,Calhoun,105,-96.837428,28.555763 -96.837428,28.548016 -96.845889,28.548016 -96.845889,28.555763 -96.837428,28.555763
TX,Calhoun,106,-96.837428,28.548016 -96.837428,28.540269 -96.845889,28.540269 -96.845889,28.548016 -96.837428,28.548016
TX,Calhoun,107,-96.869156,28.540269 -96.861224,28.540269 -96.861224,28.532005 -96.869156,28.532005 -96.869156,28.540269
TX,Calhoun,108,-96.861224,28.540269 -96.853292,28.540269 -96.853292,28.532005 -96.861224,28.532005 -96.861224,28.540269
TX,Calhoun,109,-96.869156,28.532005 -96.861224,28.532005 -96.861224,28.523742 -96.869156,28.523742 -96.869156,28.532005
TX,Calhoun,110,-96.861224,28.532005 -96.853292,28.532005 -96.853292,28.523742 -96.861224,28.523742 -96.861224,28.532005
TX,Calhoun,111,-96.853292,28.540269 -96.84536,28.540269 -96.84536,28.532005 -96.853292,28.532005 -96.853292,28.540269
TX,Calhoun,112,-96.84536,28.540269 -96.837428,28.540269 -96.837428,28.532005 -96.84536,28.532005 -96.84536,28.540269
TX,Calhoun,113,-96.853292,28.532005 -96.84536,28.532005 -96.84536,28.523742 -96.853292,28.523742 -96.853292,28.532005
TX,Calhoun,114,-96.84536,28.532005 -96.837428,28.532005 -96.837428,28.523742 -96.84536,28.523742 -96.84536,28.532005
TX,Calhoun,115,-96.869156,28.523742 -96.861224,28.523742 -96.861224,28.515478 -96.869156,28.515478 -96.869156,28.523742
TX,Calhoun,116,-96.861224,28.523742 -96.853292,28.523742 -96.853292,28.515478 -96.861224,28.515478 -96.861224,28.523742
TX,Calhoun,117,-96.869156,28.515478 -96.861224,28.515478 -96.861224,28.507214 -96.869156,28.507214 -96.869156,28.515478
TX,Calhoun,118,-96.861224,28.515478 -96.853292,28.515478 -96.853292,28.507214 -96.861224,28.507214 -96.861224,28.515478
