State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Brazoria,130,-95.753935,29.270103 -95.746983,29.270103 -95.746983,29.260677 -95.753935,29.260677 -95.753935,29.270103
TX,Brazoria,131,-95.746983,29.260677 -95.746983,29.255964 -95.760888,29.255964 -95.760888,29.260677 -95.746983,29.260677
TX,Brazoria,132,-95.760888,29.255964 -95.753935,29.255964 -95.753935,29.246538 -95.760888,29.246538 -95.760888,29.255964
TX,Brazoria,133,-95.753935,29.255964 -95.746983,29.255964 -95.746983,29.246538 -95.753935,29.246538 -95.753935,29.255964
TX,Brazoria,134,-95.774794,29.246538 -95.767841,29.246538 -95.767841,29.237112 -95.774794,29.237112 -95.774794,29.246538
TX,Brazoria,135,-95.767841,29.246538 -95.760888,29.246538 -95.760888,29.237112 -95.767841,29.237112 -95.767841,29.246538
TX,Brazoria,136,-95.760888,29.237112 -95.760888,29.2324 -95.774794,29.2324 -95.774794,29.237112 -95.760888,29.237112
TX,Brazoria,137,-95.774794,29.2324 -95.767841,29.2324 -95.767841,29.222974 -95.774794,29.222974 -95.774794,29.2324
TX,Brazoria,138,-95.767841,29.2324 -95.760888,29.2324 -95.760888,29.222974 -95.767841,29.222974 -95.767841,29.2324
TX,Brazoria,139,-95.760888,29.246538 -95.753935,29.246538 -95.753935,29.237112 -95.760888,29.237112 -95.760888,29.246538
TX,Brazoria,140,-95.753935,29.246538 -95.746983,29.246538 -95.746983,29.237112 -95.753935,29.237112 -95.753935,29.246538
TX,Brazoria,141,-95.746983,29.237112 -95.746983,29.2324 -95.760888,29.2324 -95.760888,29.237112 -95.746983,29.237112
TX,Brazoria,142,-95.760888,29.2324 -95.753935,29.2324 -95.753935,29.222974 -95.760888,29.222974 -95.760888,29.2324
TX,Brazoria,143,-95.753935,29.2324 -95.746983,29.2324 -95.746983,29.222974 -95.753935,29.222974 -95.753935,29.2324
TX,Brazoria,144,-95.746983,29.270103 -95.739682,29.270103 -95.739682,29.261126 -95.746983,29.261126 -95.746983,29.270103
TX,Brazoria,145,-95.739682,29.270103 -95.732382,29.270103 -95.732382,29.261126 -95.739682,29.261126 -95.739682,29.270103
TX,Brazoria,146,-95.746983,29.261126 -95.742116,29.261126 -95.742116,29.24766 -95.746983,29.24766 -95.746983,29.261126
TX,Brazoria,147,-95.732382,29.261126 -95.732382,29.254393 -95.742116,29.254393 -95.742116,29.261126 -95.732382,29.261126
TX,Brazoria,148,-95.732382,29.254393 -95.732382,29.24766 -95.742116,29.24766 -95.742116,29.254393 -95.732382,29.254393
TX,Brazoria,149,-95.732382,29.270103 -95.725081,29.270103 -95.725081,29.261126 -95.732382,29.261126 -95.732382,29.270103
TX,Brazoria,150,-95.725081,29.270103 -95.717781,29.270103 -95.717781,29.261126 -95.725081,29.261126 -95.725081,29.270103
TX,Brazoria,151,-95.732382,29.261126 -95.727515,29.261126 -95.727515,29.24766 -95.732382,29.24766 -95.732382,29.261126
