State,County,Original ID, polygon Point Coordinates
NA,NA,NA,,
TX,Jackson,109,-96.799593,29.133712 -96.799593,29.127424 -96.810017,29.127424 -96.810017,29.133712 -96.799593,29.133712
TX,Jackson,110,-96.799593,29.163606 -96.790646,29.169917 -96.790646,29.159436 -96.799593,29.159436 -96.799593,29.163606
TX,Jackson,111,-96.781164,29.176606 -96.781164,29.166349 -96.790646,29.166349 -96.790646,29.169917 -96.781164,29.176606
TX,Jackson,112,-96.781164,29.166349 -96.781164,29.159436 -96.790646,29.159436 -96.790646,29.166349 -96.781164,29.166349
TX,Jackson,113,-96.799593,29.159436 -96.79345,29.159436 -96.79345,29.148765 -96.799593,29.148765 -96.799593,29.159436
TX,Jackson,114,-96.79345,29.159436 -96.787307,29.159436 -96.787307,29.148765 -96.79345,29.148765 -96.79345,29.159436
TX,Jackson,115,-96.787307,29.159436 -96.781164,29.159436 -96.781164,29.148765 -96.787307,29.148765 -96.787307,29.159436
TX,Jackson,116,-96.799593,29.148765 -96.79345,29.148765 -96.79345,29.138095 -96.799593,29.138095 -96.799593,29.148765
TX,Jackson,117,-96.79345,29.148765 -96.787307,29.148765 -96.787307,29.138095 -96.79345,29.138095 -96.79345,29.148765
TX,Jackson,118,-96.787307,29.148765 -96.781164,29.148765 -96.781164,29.138095 -96.787307,29.138095 -96.787307,29.148765
TX,Jackson,119,-96.799593,29.138095 -96.79345,29.138095 -96.79345,29.127424 -96.799593,29.127424 -96.799593,29.138095
TX,Jackson,120,-96.79345,29.138095 -96.787307,29.138095 -96.787307,29.127424 -96.79345,29.127424 -96.79345,29.138095
TX,Jackson,121,-96.787307,29.138095 -96.781164,29.138095 -96.781164,29.127424 -96.787307,29.127424 -96.787307,29.138095
TX,Jackson,122,-96.81844,29.127424 -96.81844,29.122149 -96.830866,29.122149 -96.830866,29.127424 -96.81844,29.127424
TX,Jackson,123,-96.830866,29.122149 -96.824653,29.122149 -96.824653,29.111598 -96.830866,29.111598 -96.830866,29.122149
TX,Jackson,124,-96.824653,29.122149 -96.81844,29.122149 -96.81844,29.111598 -96.824653,29.111598 -96.824653,29.122149
TX,Jackson,125,-96.806015,29.127424 -96.806015,29.122149 -96.81844,29.122149 -96.81844,29.127424 -96.806015,29.127424
TX,Jackson,126,-96.81844,29.122149 -96.812228,29.122149 -96.812228,29.111598 -96.81844,29.111598 -96.81844,29.122149
TX,Jackson,127,-96.812228,29.122149 -96.806015,29.122149 -96.806015,29.111598 -96.812228,29.111598 -96.812228,29.122149
TX,Jackson,128,-96.81844,29.111598 -96.81844,29.106323 -96.830866,29.106323 -96.830866,29.111598 -96.81844,29.111598
TX,Jackson,129,-96.830866,29.106323 -96.824653,29.106323 -96.824653,29.095772 -96.830866,29.095772 -96.830866,29.106323
TX,Jackson,130,-96.824653,29.106323 -96.81844,29.106323 -96.81844,29.095772 -96.824653,29.095772 -96.824653,29.106323
TX,Jackson,131,-96.806015,29.111598 -96.806015,29.106323 -96.81844,29.106323 -96.81844,29.111598 -96.806015,29.111598
TX,Jackson,132,-96.81844,29.106323 -96.812228,29.106323 -96.812228,29.095772 -96.81844,29.095772 -96.81844,29.106323
TX,Jackson,133,-96.812228,29.106323 -96.806015,29.106323 -96.806015,29.095772 -96.812228,29.095772 -96.812228,29.106323
TX,Jackson,134,-96.793589,29.127424 -96.793589,29.122149 -96.806015,29.122149 -96.806015,29.127424 -96.793589,29.127424
TX,Jackson,135,-96.806015,29.122149 -96.799802,29.122149 -96.799802,29.111598 -96.806015,29.111598 -96.806015,29.122149
TX,Jackson,136,-96.799802,29.122149 -96.793589,29.122149 -96.793589,29.111598 -96.799802,29.111598 -96.799802,29.122149
TX,Jackson,137,-96.781164,29.127424 -96.781164,29.122149 -96.793589,29.122149 -96.793589,29.127424 -96.781164,29.127424
TX,Jackson,138,-96.793589,29.122149 -96.787377,29.122149 -96.787377,29.111598 -96.793589,29.111598 -96.793589,29.122149
TX,Jackson,139,-96.787377,29.122149 -96.781164,29.122149 -96.781164,29.111598 -96.787377,29.111598 -96.787377,29.122149
TX,Jackson,140,-96.793589,29.111598 -96.793589,29.106323 -96.806015,29.106323 -96.806015,29.111598 -96.793589,29.111598
TX,Jackson,141,-96.806015,29.106323 -96.799802,29.106323 -96.799802,29.095772 -96.806015,29.095772 -96.806015,29.106323
TX,Jackson,142,-96.799802,29.106323 -96.793589,29.106323 -96.793589,29.095772 -96.799802,29.095772 -96.799802,29.106323
TX,Jackson,143,-96.781164,29.111598 -96.781164,29.106323 -96.793589,29.106323 -96.793589,29.111598 -96.781164,29.111598
TX,Jackson,144,-96.793589,29.106323 -96.787377,29.106323 -96.787377,29.095772 -96.793589,29.095772 -96.793589,29.106323
TX,Jackson,145,-96.787377,29.106323 -96.781164,29.106323 -96.781164,29.095772 -96.787377,29.095772 -96.787377,29.106323
TX,Jackson,146,-96.81844,29.095772 -96.81844,29.090497 -96.830866,29.090497 -96.830866,29.095772 -96.81844,29.095772
