Name,Unit,Lease Rate,New Price,New Hours,Current Price,Hours Remain,Width,Speed,Field Eff.,Hours Power,Rf1,Rf2,Ir Loan,L Loan,Ir Equity,P Debt,Year,Rv1,Rv2
94,Combine - combine,each,100,6000,2000,6000,2000,8,6,70,0,0.12,2.3,0.08,5,0.08,0.5,4,0.64,0.885
95,Combine - combine 4 row,each,100,6000,2000,6000,2000,8,6,70,0,0.12,2.3,0.08,5,0.08,0.5,4,0.64,0.885
96,Combine - combine 6 rows,each,100,6000,2000,6000,2000,8,6,70,0,0.12,2.3,0.08,5,0.08,0.5,4,0.64,0.885
97,Combine - combine 8 row,each,100,6000,2000,6000,2000,8,6,70,0,0.12,2.3,0.08,5,0.08,0.5,4,0.64,0.885
98,Combine - ih combine,each,100,6000,2000,6000,2000,8,6,70,0,0.12,2.3,0.08,5,0.08,0.5,4,0.64,0.885
99,Combine - jd 6020 combine,each,100,6000,2000,6000,2000,8,6,70,0,0.12,2.3,0.08,5,0.08,0.5,4,0.64,0.885
100,Combine - jd 6620 combine,each,100,6000,2000,6000,2000,8,6,70,0,0.12,2.3,0.08,5,0.08,0.5,4,0.64,0.885
101,Combine self-prop 2wd,each,100,181352,2000,164865,2000,4.9,5,70,119,0.04,2.1,0.08,5,0.08,0.5,4,0.64,0.885
102,Combine self-prop 4wd,each,100,162625,2000,147841,2000,5.5,5.31,70,119,0.04,2.1,0.08,5,0.08,0.5,4,0.64,0.885
103,Combine self-prop hillsd,each,100,55220,2000,50200,2000,6.7,4.83,75,0,0.04,2.1,0.08,5,0.08,0.5,4,0.64,0.885
104,Combine self-prop track,each,100,197281,3500,179346,3500,5.5,1.61,70,119,0.04,2.1,0.08,5,0.08,0.5,4,0.64,0.885
105,Corn picker,each,100,16310,2000,14827,2000,1.5,5.95,70,149,0.14,2.3,0.08,5,0.08,0.5,4,0.6,0.885
106,"Corrugator, dammer-diker, diker, furrow-diker",each,100,128900,5500,128900,5500,8,6,70,240,0.02,2.1,0.08,5,0.08,0.5,4,0.64,0.885
107,Cotton chopper,each,100,8398,2500,7634,2500,4.9,7.24,80,0,0.28,1.4,0.08,5,0.08,0.5,4,0.6,0.885
108,Cotton module builder,each,100,14300,20000,13000,20000,4.9,1.61,80,0,0.1,1.8,0.08,5,0.08,0.5,4,0.64,0.885
109,Cotton picker (mtd),each,100,8398,2000,7634,2000,4.9,4.83,80,0,0.11,1.8,0.08,5,0.08,0.5,4,0.6,0.885
110,Cotton picker self-prop,each,100,244200,2500,222000,2500,1.5,4.18,70,149,0.11,1.8,0.08,5,0.08,0.5,4,0.64,0.885
111,Cotton rood machine,each,100,8398,2500,7634,2500,4.9,6.44,80,0,0.11,1.8,0.08,5,0.08,0.5,4,0.6,0.885
112,Cotton stripper (mtd),each,100,8398,2500,7634,2500,4.9,7.24,80,0,0.11,1.8,0.08,5,0.08,0.5,4,0.6,0.885
