Code	DM	TDN	DE	ME	NEm	NEg	Sugar	Starch	Fat	NDF	Carb	protein	RDP	RUP	Ash     Animal feed
	% AF	% of DM	---------Mcal/kg-----------	------------------% of DM---------------------- % CP	% CP    % DM

81	36.47	59.00	0.00	2.13	1.28	0.71	0.19	4.63	2.40	49.17	78.32	9.20	75.00	25.00	10.08	Grain_Sorghum_Silage
82	82.63	39.50	0.00	1.43	0.58	0.06	0.00	0.00	1.52	64.82	71.28	7.67	47.01	52.50	19.53	Grain_Sorghum_Stalks
83	81.02	93.00	0.00	3.36	2.33	1.62	0.00	75.18	2.62	9.70	85.93	10.09	38.00	62.00	1.36	Grain_Sorghum_Steam_Flaked
84	69.91	86.00	0.00	3.11	2.12	1.45	0.00	72.89	3.45	9.28	83.44	10.41	28.61	71.11	2.70	Grain_Sorghum_High_Moist
85	91.81	47.00	2.07	1.70	0.86	0.32	0.00	0.97	8.87	51.78	69.21	12.27	25.00	74.87	9.65	Grape_Pomace_Dry
86	41.88	56.00	2.47	2.02	1.17	0.61	0.00	0.99	8.95	50.06	64.25	11.69	24.47	75.41	15.11	Grape_Pomace_Wet
87	88.74	87.20	3.85	3.15	2.16	1.48	1.10	56.77	7.15	16.79	79.94	10.27	33.40	66.54	2.64	Hominy
88	50.05	58.00	54.00	1.95	1.11	0.55	0.00	0.00	0.00	62.28	87.17	7.83	75.00	25.00	5.00	Johnsongrass
89	75.00	50.90	0.00	1.84	1.00	0.45	0.00	0.00	1.10	45.98	73.59	13.49	25.00	74.87	11.82	Kochia
90	37.10	58.00	0.00	2.10	1.24	0.68	0.00	0.00	1.20	45.70	68.49	15.41	70.07	29.85	14.90	Kochia_Silage
91	90.47	73.60	3.24	2.66	1.74	1.12	0.00	2.54	11.96	32.10	44.93	36.93	68.06	31.94	6.18	Linseed_Meal
92	88.76	52.90	0.00	1.91	1.07	0.51	13.95	0.00	1.84	60.85	79.43	8.79	77.00	23.00	9.94	Meadow_Hay
93	36.19	52.50	0.00	1.90	1.05	0.50	0.00	0.00	0.00	65.28	82.84	12.16	70.15	29.71	5.00	Millet_Forage_Fresh
94	86.27	52.50	2.32	1.90	1.06	0.50	51.60	2.91	1.72	62.48	77.37	9.53	60.21	39.63	11.38	Millet_Forage_Hay
95	86.70	76.20	3.36	2.75	1.83	1.20	0.00	49.24	3.46	21.61	79.93	11.27	28.59	71.42	5.34	Millet_Grain
96	34.86	53.00	2.34	1.92	1.07	0.52	0.00	3.60	2.33	61.94	73.60	12.28	68.00	31.89	11.79	Millet_Silage
97	0.00	75.00	0.00	2.71	1.79	1.16	70.62	0.00	0.00	0.00	61.94	10.86	80.00	20.00	27.20	Molasses_Beet
98	66.04	72.00	0.00	2.60	1.70	1.08	60.04	11.98	1.86	0.00	77.35	8.59	80.00	20.00	12.20	Molasses_Cane
99	88.01	48.40	0.00	1.75	0.91	0.37	0.00	0.00	1.80	66.58	81.18	6.76	75.00	25.00	10.26	Native_Priarie_Hay
100	29.58	61.10	2.70	2.21	1.35	0.77	0.00	2.67	3.66	52.71	70.15	16.46	73.35	26.40	9.73	Oat_Forage
101	89.86	83.00	3.66	3.00	2.03	1.37	0.00	44.09	6.16	26.65	78.23	12.55	43.54	56.47	3.06	Oat_Grain
102	89.61	59.90	2.64	2.17	1.31	0.73	0.00	3.97	2.22	59.13	81.98	8.73	65.92	33.91	7.07	Oat_Hay
103	91.60	56.50	2.49	2.04	1.19	0.63	0.00	15.83	2.80	64.44	85.86	6.10	53.62	46.38	5.24	Oat_Hulls
104	84.19	44.30	0.00	1.60	0.76	0.23	0.00	1.35	1.33	73.75	86.92	4.83	70.00	30.00	6.92	Oat_Straw
105	33.84	58.00	2.56	2.10	1.24	0.67	0.00	3.11	3.67	58.88	73.83	12.70	77.47	22.38	9.80	Oatlage
106	23.17	68.90	0.00	2.49	1.60	1.00	0.00	54.53	13.63	10.54	70.07	10.14	0.00	0.00	6.16	Onions
107	91.47	56.20	0.00	2.03	1.18	0.62	0.00	0.00	2.30	57.35	73.39	13.77	76.00	24.00	10.54	Orchardgrass_Hay
108	88.25	71.00	0.00	2.57	1.66	1.05	0.00	40.00	1.33	54.93	74.37	20.10	40.31	59.14	4.20	Pea_Hulls
109	90.78	57.50	2.54	2.08	1.23	0.66	0.00	4.00	2.04	47.40	76.01	11.04	66.13	33.51	10.91	Peanut_Hay
110	93.41	42.80	1.89	1.55	0.71	0.17	0.00	1.24	1.16	68.46	85.61	9.46	47.01	52.50	3.77	Peanut_Hulls
111	94.11	80.80	3.56	2.92	1.96	1.32	0.00	6.93	7.73	19.89	41.76	44.96	71.80	28.20	5.55	Peanut_Meal
112	38.03	56.30	2.48	2.04	1.19	0.62	0.00	2.25	3.74	53.59	72.94	13.69	65.57	34.43	9.63	Peanut_Silage
113	87.28	80.00	3.53	2.89	1.94	1.30	0.00	42.66	1.86	13.67	70.48	23.91	84.40	15.49	3.75	Peas
114	18.18	62.10	2.74	2.25	1.38	0.80	0.00	3.47	3.81	44.31	66.42	20.13	73.67	26.33	9.64	Peavine_Forage
115	90.47	58.60	2.58	2.12	1.26	0.69	0.00	6.50	2.04	45.87	72.88	15.60	70.07	29.85	9.48	Peavine_Hay
116	34.11	59.20	2.61	2.14	1.28	0.71	0.00	5.58	3.76	49.19	65.81	19.68	75.95	24.01	10.75	Peavine_Silage
117	87.81	72.70	0.00	2.63	1.72	1.10	0.00	65.50	3.50	0.00	78.11	11.39	0.00	0.00	7.00	Popcorn_Grain
118	90.90	79.20	3.49	2.86	1.92	1.28	0.00	44.34	3.87	18.38	82.29	8.13	51.47	48.38	5.71	Potato_Byproduct_Dry
119	23.38	79.10	3.49	2.86	1.91	1.27	0.00	44.27	7.95	21.66	72.28	12.08	46.48	53.32	7.69	Potato_Byproduct_Wet
120	43.37	78.00	0.00	2.83	1.88	1.24	0.00	0.00	0.55	16.00	79.10	13.80	77.10	22.53	6.55	Potato_Peels
121	23.54	76.70	3.38	2.77	1.84	1.21	0.00	60.87	7.52	11.19	76.07	10.11	37.60	62.40	6.30	Potatoes
122	91.76	83.40	3.68	3.01	2.04	1.38	0.00	20.17	17.64	26.62	55.47	14.72	55.30	44.70	12.17	Rice_Bran
123	88.81	82.70	3.65	2.99	2.02	1.37	0.00	77.19	1.84	8.17	86.60	8.37	40.31	59.58	3.19	Rice_Grain
124	92.68	54.70	2.41	1.98	1.13	0.57	0.00	8.95	1.80	62.31	76.27	7.39	61.57	38.26	14.54	Rice_Hay
125	91.95	31.50	0.00	1.14	0.28	0.00	0.00	0.00	4.31	53.84	74.59	5.39	65.00	35.00	15.71	Rice_Hulls
126	39.70	56.00	2.47	2.03	1.18	0.61	0.00	18.65	2.44	55.08	75.85	7.28	62.64	37.15	14.43	Rice_Silage
127	31.97	65.10	2.87	2.35	1.48	0.89	0.00	1.87	4.92	51.69	66.17	18.67	74.27	25.57	10.24	Rye_Annual_Fresh
128	90.38	63.70	2.81	2.30	1.43	0.85	0.00	2.26	3.35	51.50	68.40	18.65	66.52	33.30	9.60	Ryegrass_Hay
